id,first_name,last_name,serve_power,serve_skill,spin,forehand_power,backhand_power,fitness,age,,,
60,Dominica,Engelbert,2,2,8,3,2,10,45,,,
61,Cammi,Konrad,2,3,2,3,9,6,18,,,
62,Appolonia,Rubi,6,9,6,9,3,7,57,,,
63,Reeva,Aurel,9,9,1,4,6,6,37,,,
64,Arnold,Flin,4,4,10,3,7,8,41,,,
65,Jermaine,Gregorius,2,1,5,10,7,5,29,,,
66,Vinni,Byrle,6,5,8,2,6,8,70,,,
67,Cesya,Golda,7,5,10,3,6,1,28,,,
68,Brigid,Lorette,6,8,3,8,3,2,32,,,
69,Rubia,Lew,5,3,2,1,10,8,38,,,
70,Mariam,Barbra,4,4,9,7,5,6,55,,,
71,Blythe,Dara,3,1,5,9,10,4,63,,,
72,Beatrisa,William,2,10,9,4,4,1,64,,,
73,Cesaro,Patrizia,4,3,3,9,6,4,27,,,
74,Kathrine,Raychel,7,8,10,3,6,8,53,,,
75,Paddie,Dreddy,2,10,3,3,1,9,43,,,
76,Dulciana,Gilbert,9,8,5,3,2,9,35,,,
77,Greer,Danny,5,3,2,4,1,5,22,,,
78,Em,Ilysa,10,5,5,3,6,2,37,,,
79,Meghann,Lettie,7,6,5,7,2,6,27,,,
80,Douglas,Aveline,1,10,4,2,9,3,60,,,
81,Olive,Saba,3,2,3,8,9,1,21,,,
82,Cinnamon,Tomas,2,10,4,7,4,1,52,,,
83,Thaine,Bentley,5,8,2,10,2,6,64,,,
84,Ardra,Llewellyn,7,10,2,10,5,3,60,,,
85,Merle,Hendrick,8,10,4,4,6,5,64,,,
86,Garrot,Antonio,3,3,1,8,8,10,34,,,
87,Aura,Budd,8,2,9,9,5,6,50,,,
88,Janaya,Joel,7,9,1,3,1,1,26,,,
89,Kizzie,Carissa,6,8,2,6,1,6,62,,,
90,Asa,Julieta,6,5,8,1,6,8,38,,,
91,Isadore,Pren,4,2,3,10,2,5,54,,,
92,Daphene,Cortney,8,2,2,6,6,3,42,,,
93,Kyle,Josefina,8,3,4,9,9,8,39,,,
94,Susann,Chariot,6,9,9,6,8,3,62,,,
95,Harman,Jarid,3,9,10,9,6,6,27,,,
96,Stephine,Livvie,2,5,9,1,2,4,36,,,
97,Gisele,Anderson,5,1,3,8,9,2,37,,,
98,Sherye,Griffin,6,3,9,5,7,6,30,,,
99,Heidie,Conney,2,4,5,8,4,1,63,,,
100,Cam,Marin,3,8,10,6,2,6,60,,,
101,Chantalle,Kare,9,10,3,5,7,4,37,,,
102,Deeann,Derron,10,1,10,10,8,1,43,,,
103,Carita,Alla,2,5,9,7,8,3,29,,,
104,Orson,Dominique,9,6,1,9,8,2,35,,,
105,Andonis,Esmaria,8,9,1,6,10,7,42,,,
106,Emyle,Courtney,9,2,2,6,5,5,69,,,
107,Lonnie,Pattin,5,3,8,10,6,3,38,,,
108,Joyce,Gladys,5,8,1,10,2,5,50,,,
109,Lowrance,Brenden,4,9,5,9,7,8,50,,,
110,Cristy,Mart,10,7,10,10,9,2,17,,,
111,Hardy,Ali,2,9,6,5,9,3,30,,,
112,Mariellen,Pet,7,8,1,9,2,10,57,,,
113,Margaux,Jaclin,2,3,8,10,9,1,30,,,
114,Esmaria,Englebert,2,7,9,5,8,6,57,,,
115,Vanya,Wells,10,5,8,4,7,10,40,,,
116,Tibold,Donn,9,1,4,6,2,10,24,,,
117,Xymenes,Tracee,7,7,7,5,5,2,70,,,
118,Fidelity,Dwight,2,2,1,8,1,6,50,,,
119,Efren,Suzanna,4,3,1,6,1,9,20,,,
120,Juliet,Ferdy,8,4,5,9,5,6,36,,,
121,Dewain,Bill,3,10,10,2,5,5,23,,,
122,Slade,Arlette,8,1,5,7,6,6,54,,,
123,Ingram,Winnifred,8,4,7,9,3,5,48,,,
124,Jaimie,Dionne,1,4,1,6,5,3,58,,,
125,Foster,Tibold,1,5,7,1,4,4,29,,,
126,Finn,Godwin,5,2,8,2,3,10,37,,,
127,Dom,Natka,7,7,10,9,5,7,52,,,
128,Lane,Mitchael,1,4,1,6,6,6,50,,,
